Business Name,Phone Number,Address,Rating,Reviews,Website,Email,Google Maps Link,Business Type,Location
"Turtle Creek Trust Company","+1 214-468-0100","3838 Oak Lawn Ave SUITE 1650, Dallas, TX 75219, United States","5.0","5.0 stars ","https://turtlecreektrust.com/","admin@turtlecreektrust.com","https://www.google.com/maps/place/Turtle+Creek+Trust+Company/@32.8144645,-96.8014862,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9ed06b632857:0x4a2c8a1dd9039054!8m2!3d32.8144645!4d-96.8014862!16s%2Fg%2F11smr4jv2g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"Greenway Investment Co","+1 214-880-9050","2808 Fairmount St # 100, Dallas, TX 75201, United States","4.0","4.0 stars ","https://www.greenwayinvestment.com/","greenway@greenwayinvestment.com","https://www.google.com/maps/place/Greenway+Investment+Co/@32.7975816,-96.8048397,17z/data=!3m1!4b1!4m6!3m5!1s0x864e99319083fa97:0xd6e6ab45136efc5f!8m2!3d32.7975816!4d-96.8048397!16s%2Fg%2F1td25vzl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"McGowan Group Asset Management","+1 214-720-4400","300 Crescent Ct Suite 1776, Dallas, TX 75201, United States","5.0","5.0 stars ","https://themcgowangroup.com/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=gbp&utm_content=main-button","info@themcgowangroup.com","https://www.google.com/maps/place/McGowan+Group+Asset+Management/@32.79353,-96.804597,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9930185da137:0x5fe42b494d6deb04!8m2!3d32.79353!4d-96.804597!16s%2Fg%2F1tgvf0wz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"Cityfunds by Nada","+1 972-445-7320","1315 Manufacturing St, Dallas, TX 75207, United States","4.7","4.7 stars ","https://www.cityfunds.com/","hello@cityfunds.com","https://www.google.com/maps/place/Cityfunds+by+Nada/@32.796963,-96.8302639,17z/data=!3m1!4b1!4m6!3m5!1s0x864c231bb27894b5:0xa68642178caf296a!8m2!3d32.796963!4d-96.8302639!16s%2Fg%2F11gyd3mhrv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"KICKSTAND INVESTMENTS LLC","+1 214-771-9444","325 North St. Paul Street Suite 3100, Dallas, TX 75201, United States","5.0","5.0 stars ","http://kickstandinvestments.com/","hello@kickstandinvestments.com","https://www.google.com/maps/place/KICKSTAND+INVESTMENTS+LLC/@32.783334,-96.7973576,17z/data=!3m1!4b1!4m6!3m5!1s0x864e990bbc309a73:0x29290703d8f92999!8m2!3d32.783334!4d-96.7973576!16s%2Fg%2F11jy49dr9m?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"St. James Investment Company","+1 214-484-7250","3838 Oak Lawn Ave #1414, Dallas, TX 75219, United States","N/A","N/A","https://stjic.com/","info@stjic.com","https://www.google.com/maps/place/St.+James+Investment+Company/@32.8144645,-96.8014862,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9ed06bc7480d:0x3d972e22c7e4a853!8m2!3d32.8144645!4d-96.8014862!16s%2Fg%2F11b5yt5ccl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"Crow Holdings","+1 214-661-8000","3819 Maple Ave, Dallas, TX 75219, United States","3.3","3.3 stars ","http://www.crowholdings.com/","info@crowholdings.com","https://www.google.com/maps/place/Crow+Holdings/@32.8042034,-96.8154605,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9eb530bdcc25:0x14bb2aec0ded575a!8m2!3d32.8042034!4d-96.8154605!16s%2Fg%2F11c0vnccpw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"Realty Capital Partners, LLC","+1 469-533-4000","8333 Douglas Ave #300, Dallas, TX 75225, United States","5.0","5.0 stars ","http://rcpinvestments.com/","RCP@RCPinvestments.com","https://www.google.com/maps/place/Realty+Capital+Partners,+LLC/@32.8642964,-96.809562,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9f55a110a77b:0xc423b9f141521dcf!8m2!3d32.8642964!4d-96.809562!16s%2Fg%2F11f0189jnz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"VWH Capital Management","+1 212-468-5580","500 Crescent Ct Suite 318, Dallas, TX 75201, United States","5.0","5.0 stars ","https://vwhcapital.com/","info@vwhcapital.com","https://www.google.com/maps/place/VWH+Capital+Management/@32.7945087,-96.8048657,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9980fe0612bf:0x42a6d17ddc7f47f1!8m2!3d32.7945087!4d-96.8048657!16s%2Fg%2F11sytyvtp1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
"Dallas Property Investors, LLC","+1 214-609-1240","3870 Ponte Ave Suite 110 #1016, Addison, TX 75001, United States","4.2","4.2 stars ","https://www.dallaspropertyinvestors.com/","marco@dallaspropertyinvestors.com","https://www.google.com/maps/place/Dallas+Property+Investors,+LLC/@32.9351514,-96.8513369,17z/data=!3m1!4b1!4m6!3m5!1s0x864c27c7d777f437:0x9a58914ec8068997!8m2!3d32.9351514!4d-96.8513369!16s%2Fg%2F11h_ytj7gh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D","investment company","Dallas, Usa"
